row_index,cluster,x,y
883,3,13.140449,-42.64282
884,7,12.031555,-44.933678
888,3,-24.447348,32.943275
889,5,-41.586346,-12.229855
894,7,-15.242352,13.634581
896,5,-22.954315,-2.4264128
901,5,-43.29154,11.152202
920,7,-36.19904,17.255638
921,7,-19.932398,20.371777
929,5,-35.0042,0.9617875
945,7,-10.695496,9.231161
951,7,-11.453833,10.815375
958,5,-45.700924,0.9306306
964,7,-5.1208243,16.627075
968,5,-23.309834,-1.3060433
988,7,-7.4300337,6.004973
1001,5,-26.041302,-6.3564773
1014,7,-20.174965,21.721378
1023,7,-14.892935,4.3947787
1024,7,-6.148296,17.62249
1026,7,-32.600376,6.7308493
1029,7,-12.540613,7.948357
1036,7,-13.515203,1.1541022
1053,5,-46.077316,-11.132371
1058,5,-34.455334,-9.614678
1061,7,-19.729437,5.417189
1066,5,-27.365633,3.8716645
1076,5,-45.61835,-9.718846
1085,7,-36.948963,17.760567
1089,7,-22.87733,38.56184
1098,5,-38.4033,17.581394
1103,7,-28.679104,12.312824
1117,7,-2.3558292,10.408348
1119,7,-2.355899,10.408452
1132,3,-21.386831,37.85327
1146,5,-42.53616,-9.994719
1151,3,-2.7009966,4.3305664
1153,7,-14.717837,10.660687
1164,5,-30.219776,-0.6435566
1169,5,-15.578129,-4.679548
1170,7,-21.352251,-1.8897593
1179,7,-6.563819,-0.90782815
1187,5,-33.594913,-10.711758
1193,7,-24.15853,2.1740594
1195,7,-14.372827,2.2481062
1199,7,-5.4442625,4.0416074
1213,7,-14.698725,24.803837
1222,5,-47.3044,-2.0782888
1251,5,-33.029808,-3.601884
1257,7,-22.840296,23.005964
1258,7,-22.046232,23.777206
1263,7,-21.818222,-9.4535265
1265,5,-22.679932,-4.9761167
1274,5,-44.601227,4.7050633
1275,7,-19.13799,17.055454
1276,7,-18.89126,22.259386
1282,5,-19.89282,-8.304027
1284,7,-12.119088,12.649117
1291,5,-38.24273,17.425941
1292,5,-31.550962,-2.7340837
1295,5,-40.08706,-1.1610203
1299,7,-9.464331,-0.46091145
1301,7,-9.453219,-0.45369366
1307,7,0.05469502,-2.4298208
1315,5,-32.373646,-11.960441
1316,7,-26.884903,0.34880513
1321,5,-39.095936,0.8801283
1322,5,-34.55185,-3.9626195
1324,5,-35.403973,-9.903328
1337,5,-31.076046,2.7105165
1346,7,9.227814,-0.88942045
1349,7,-18.61859,5.7536583
1354,7,-17.296434,5.989199
1355,7,-17.689919,5.9640284
1356,7,-17.2869,6.034511
1360,5,-40.703518,-15.035914
1380,7,-10.649474,-6.515811
1381,7,-21.276354,11.065727
1386,7,-0.08208406,9.569186
1391,7,-23.189497,-3.2402709
1392,5,-28.743927,-5.605049
1397,5,-31.392756,0.68510365
1398,5,-24.071106,-17.917593
1403,7,-8.338979,5.441017
1408,7,-21.104591,12.516151
1409,5,-32.6779,6.758619
1413,7,-19.553661,7.8560877
1414,7,-21.000875,0.067312226
1418,7,-36.791477,17.95227
1424,7,-6.3999186,10.413526
1426,7,-31.974077,-10.073524
1429,5,-36.561897,-13.436029
1432,7,-25.921963,2.31202
1435,5,-34.482197,21.37293
1438,5,-21.97297,4.9836903
1444,7,-1.5669787,-1.3644294
1446,7,-18.960299,9.350793
1458,3,-20.208836,36.252834
1462,5,-7.7372384,12.410855
1463,5,-33.46425,8.09164
1464,7,-13.204897,10.24602
1465,5,-40.00275,4.1192713
1477,5,-44.24957,14.070127
1478,5,-44.242046,14.058686
1483,7,-32.27623,14.816574
1492,7,-23.063622,32.96552
1500,5,-42.839546,-6.331712
1501,5,-36.757763,-5.394396
1507,7,-9.4007845,-2.3772013
1509,5,-28.156649,18.279669
1513,7,-11.595235,-8.705133
1517,7,-2.3484247,0.8146363
1519,5,-31.852161,5.511348
1529,7,-21.172916,19.054855
1535,7,-27.865282,22.20999
1548,5,-4.904098,14.957536
1555,7,-25.158562,34.22172
1562,7,-15.486235,15.280958
1566,7,-19.81559,-8.024282
1572,7,-9.7581,20.482882
1576,7,-18.545696,15.618347
1578,7,-11.4854965,-0.93291956
1579,7,-10.168068,1.0946068
1584,7,-19.554455,16.260582
1593,7,-22.075623,24.047192
1599,7,-15.824244,21.068895
1604,5,-45.858814,11.148394
1609,5,-28.569067,17.688564
1618,7,-8.974742,9.806055
1621,5,-22.722433,-11.459401
1624,5,-43.52676,4.734295
1627,7,-11.544235,17.04267
1631,7,-21.089775,21.237432
1633,7,-23.391003,-6.4782233
1636,3,-24.619148,35.631733
1638,5,-29.748661,16.980927
1639,7,-6.2182612,-19.306358
1654,7,-15.873212,12.466382
1655,7,-23.427032,15.519547
1681,7,-13.45785,22.315868
1682,7,-39.853783,8.643458
1683,7,-25.291178,9.571142
1689,5,-32.298424,0.30842045
1691,5,-11.728074,24.880253
1696,7,-15.5105,0.57845867
1698,7,-11.894251,24.442268
1703,7,-30.407745,-8.188623
1710,5,-34.10265,10.864664
1712,5,-44.233437,6.5754137
1714,5,-42.073864,2.5288668
1723,5,-33.26535,7.413522
1730,5,-5.1076565,16.317955
1733,5,-39.16109,-6.5609207
1745,7,-11.405484,16.682308
1755,7,-16.927204,-10.312151
1759,5,-26.785463,-6.3071237
1761,7,-27.977516,-1.9292874
1772,5,-40.25189,1.5268129
1779,7,-23.911291,17.059153
1782,7,-18.446249,12.107975
1793,7,-14.220207,3.6865609
1795,7,-28.561052,-5.2866554
1798,7,-7.881973,-0.24880293
1799,7,-16.00075,9.697387
1804,5,-29.523987,-2.774364
1806,5,-40.261753,0.1752456
1808,5,-22.657312,-11.73965
1813,7,-25.557644,4.3901277
1816,7,-22.636282,-3.3083847
1821,5,-17.360687,-11.094574
1823,7,-5.033134,14.62016
1824,7,-22.459887,20.912077
1827,7,-7.648627,16.036896
1828,7,-30.239464,22.870028
1830,5,-39.590626,8.852563
1832,3,-19.968077,35.584404
1834,3,-20.62887,36.235916
1838,7,-16.263733,7.753631
1839,7,-18.26141,6.034962
1853,7,-12.8386345,8.586968
1863,7,-23.49227,1.2243053
1865,5,-25.440296,-1.1039103
1874,5,-35.80641,-4.6395864
1876,3,-3.5426483,8.6046715
1878,7,-15.161843,9.74409
1880,5,-44.25096,6.570767
1900,7,-27.757326,19.704584
1902,7,-23.203089,15.623439
1906,5,-13.025091,-2.4302292
1908,7,-7.332022,2.401963
1911,7,-12.572408,7.1669736
1919,7,-30.270739,13.620565
1927,7,-24.672169,-6.83502
1931,7,-1.4201791,7.1754193
1934,7,-1.4180964,7.1754007
1936,7,-1.4175835,7.1765175
1937,7,-16.447754,4.3679743
1943,7,-4.8007283,5.3473954
1958,7,-7.9796023,21.53377
1960,7,-15.20539,24.366888
1963,7,-15.531486,8.714844
1978,7,-16.340923,-2.760118
1983,7,-11.377047,2.4038925
1989,5,-41.766125,0.6567003
2010,7,-12.337522,-8.458408
2011,7,-24.200668,16.868265
2013,7,-12.501341,0.43066716
2017,3,-22.812815,37.365246
