row_index,cluster,x,y
765,4,10.649216,4.7760653
766,4,8.670108,4.9481587
769,3,12.526348,3.4843235
770,3,12.556468,3.5781236
771,3,12.289447,3.167334
772,3,11.443592,3.9220023
773,3,12.549301,3.6288984
774,3,11.524638,3.9962263
780,3,11.04921,2.4057565
782,3,11.6510935,3.1902912
783,2,10.095039,0.88274384
784,3,11.120549,4.7562413
786,1,9.568182,-1.2804842
787,3,9.56107,-0.9787747
788,4,9.579475,3.5939162
789,3,12.3918295,3.4536765
790,4,8.7467985,4.5964117
795,4,10.713976,3.4318056
796,2,10.30311,0.77633876
797,4,10.769935,4.068669
798,4,9.037746,3.9364698
799,4,9.938982,4.7888775
800,4,10.916256,4.848204
802,2,11.736667,2.5730608
804,3,12.044029,2.7391937
805,3,12.424177,3.6846545
806,3,12.416816,3.5722916
808,2,6.8316708,2.0926619
810,3,10.83977,3.9370513
811,4,8.693618,5.1392374
812,3,10.768847,4.0990934
814,4,8.523169,4.803834
815,4,9.577475,4.9169517
821,4,10.274445,4.2574124
823,4,8.463065,1.6823319
825,4,10.167147,4.0756607
826,4,10.157775,4.1286407
827,4,10.195786,4.093056
828,4,10.034352,5.054628
829,3,10.873658,3.2210321
835,3,12.127168,4.033911
836,4,10.811802,4.1867795
837,4,9.231079,4.899627
838,3,11.297351,2.54263
840,3,11.411767,4.3562646
841,4,10.218389,4.8714085
842,4,8.948391,1.9142779
843,3,10.86176,1.3261002
845,4,9.138047,2.0212085
851,3,11.257557,1.8264203
853,3,10.873711,3.0457811
854,4,9.386655,4.6632032
855,3,12.451645,4.522827
857,3,11.496781,4.917005
858,3,12.760926,3.6070535
861,3,11.005895,4.4806895
865,4,10.009048,4.602607
866,4,10.986699,4.165058
867,3,13.057182,3.7528465
868,4,10.380642,3.7972329
870,4,10.629236,4.1325645
871,4,9.3269825,5.160617
872,4,9.175582,4.2507744
874,4,8.513599,3.5991545
876,4,8.504161,3.5931973
879,4,9.780162,4.868148
880,4,9.117073,4.5876055
881,3,13.044527,4.038362
882,3,12.247174,3.5227618
883,3,9.783152,0.7170414
884,4,9.695659,0.9591999
888,2,6.461742,1.876815
889,4,8.982768,3.7655208
890,3,9.522077,3.37568
891,4,9.563431,3.6258597
892,3,12.479029,3.241104
893,3,12.797292,3.6961722
894,3,12.006494,4.4714823
895,4,11.054499,4.9065666
896,4,9.182911,3.8187125
900,4,8.851466,5.0616536
901,4,9.551137,4.6224294
902,3,11.191398,1.8713083
903,2,9.966079,2.4317963
910,2,10.92149,0.4683127
911,2,11.16748,3.4400795
912,4,9.423988,3.030654
914,4,8.818953,5.032436
915,4,9.299773,4.9886475
916,4,9.561824,4.8277593
918,4,9.850098,4.294947
920,4,10.242725,4.5936313
921,4,8.761407,2.2686417
922,3,11.225387,2.6677496
923,3,11.536242,3.025782
924,3,12.487372,4.487546
925,3,12.678562,4.1575675
929,4,9.434967,4.6103187
931,4,11.180778,4.1348486
932,4,11.01351,4.463563
934,3,11.967653,3.573782
935,3,11.332969,4.0343227
936,3,11.537067,3.6205375
937,4,11.113871,3.997081
938,3,12.217763,4.0189
939,4,11.04824,4.0799646
940,4,8.602499,4.487604
943,2,9.682352,2.1524386
944,3,11.517568,2.4842234
945,4,9.423145,3.839715
946,2,6.904978,2.093418
950,4,9.819486,5.244437
951,4,10.921755,4.3105145
954,4,9.1652,4.7503815
955,4,8.958351,4.2396455
957,3,11.128678,2.6931791
958,4,9.261011,3.7445304
959,3,12.939133,4.0122733
960,4,9.236733,1.9835106
961,3,12.7868395,3.907757
964,4,11.615955,5.052803
965,4,9.803748,3.5445406
966,4,10.337164,3.9769344
968,4,10.022876,3.685771
970,3,11.534531,3.9775848
972,4,11.217247,4.42944
973,4,9.577298,3.7651827
975,3,11.719991,2.7392194
978,3,11.578382,3.399381
980,3,12.47992,3.512488
982,3,10.85645,3.4796948
983,4,8.262155,4.945251
987,2,8.637896,-0.27410966
988,3,12.222419,2.8143811
989,3,13.067671,3.5934827
991,3,11.098542,3.629438
993,2,8.799914,-1.1460698
994,2,10.927835,2.946345
998,3,11.598481,3.2023408
999,3,12.443875,3.520495
1000,4,8.634129,5.1724405
1001,4,8.623356,5.1595025
