row_index,cluster,x,y
233,3,11.073594,9.200245
235,3,10.765778,8.748643
236,3,8.661446,9.058706
237,3,10.797741,9.930425
239,3,11.320013,11.924511
240,3,11.315796,12.003289
241,3,13.01923,9.671168
243,3,7.5708013,7.6938596
244,3,11.31503,11.997337
246,3,13.039039,9.697475
247,3,8.301656,9.207045
249,3,11.575588,8.144809
251,3,10.082674,9.866291
252,3,10.5338745,6.717902
254,3,10.35371,8.178252
255,3,10.6921835,6.686663
258,3,11.34223,6.7817144
260,3,10.87007,8.026198
261,3,12.266189,8.507444
262,3,11.526931,7.198814
263,3,8.446865,8.240176
264,3,12.72655,8.899916
265,3,11.040479,7.1131687
266,0,12.365771,11.096347
267,3,10.122877,7.1741843
269,3,12.793761,9.014017
270,3,8.101219,8.286986
273,3,10.543228,8.942721
274,3,8.362732,8.83204
275,3,10.052116,8.203802
276,3,11.086134,9.165953
278,3,10.233635,8.346305
280,3,8.1907015,8.955168
281,3,10.832148,7.259269
282,3,10.6221075,9.349401
283,3,10.961927,8.54182
284,3,10.762835,8.367248
286,3,10.601181,8.319319
289,3,11.003122,8.253654
290,3,11.010509,8.326959
294,3,9.107459,8.531817
295,3,12.099232,10.530447
296,0,12.494777,11.267438
298,3,9.740866,7.8753777
299,3,10.504753,7.1823926
301,3,11.034456,8.7526865
303,0,8.921393,9.760944
306,3,9.512294,7.904486
307,3,10.901248,8.736866
308,3,10.835653,8.998127
309,3,10.110611,8.691879
312,3,12.078652,8.851002
315,3,8.92501,8.762778
316,3,12.237941,7.8750763
318,3,10.554988,6.6192803
320,3,12.911215,7.8620267
322,3,11.077939,8.549979
323,3,11.225771,11.896491
324,3,12.00569,7.9246187
326,3,11.500907,8.52862
327,3,12.795223,8.94582
328,3,11.34941,11.924936
330,3,11.796331,8.493479
331,3,11.36126,12.19941
332,3,1.8098731,-2.6958697
333,3,12.813566,9.208518
335,3,10.441,6.9783993
338,3,9.033425,7.299394
339,3,9.292668,8.781851
340,3,8.428546,9.511775
341,3,11.230297,6.7291822
342,3,11.370042,12.215742
343,3,13.040847,9.761101
344,3,10.7379875,8.871283
346,3,9.977142,8.803831
347,3,10.677816,8.915229
348,3,8.284954,8.435781
353,3,9.746196,8.211451
354,0,10.525333,6.863759
356,0,11.180414,8.653424
357,3,8.969775,8.893656
360,0,10.509941,7.7850213
361,0,10.5196905,8.993084
362,3,8.482907,8.273265
363,3,9.094682,9.7042465
365,3,9.127515,9.782263
366,3,9.125766,9.767097
367,3,11.201309,7.0923867
369,3,10.132456,8.573198
370,3,11.738975,8.498913
371,0,10.802333,8.98915
372,3,10.233287,9.734028
374,0,10.33528,8.868732
375,3,10.006598,7.9589467
377,3,11.064903,8.677222
378,3,10.528917,8.172228
379,3,11.01434,8.262136
380,3,10.927557,9.031545
383,3,10.331383,7.8118486
384,0,9.728375,8.658788
386,3,9.335855,8.306847
388,3,10.154318,7.0714016
390,3,12.076383,7.962238
391,0,10.730096,8.734495
392,3,8.815223,8.526284
